Tweet,Sentiment
@TheOfficalMoVid @Marvel @Avengers What am I looking at?,neutral
"20 days until Avengers Infinity War comes out 
7 movies left to catch up still (plus maybe rewatching the pre-2012 https://t.co/wyDkNFtTTH",neutral
"Bron has played HARDER teams in the Finals than Jordan did. Gone head and try to debate that one. A Spurs dynasty, https://t.co/7PbK1Nekuw",neutral
"Oh yes, so this is happening  #InfinityWar #london #fanevent #avengers too excites for the cast to arrive.... https://t.co/FOAUxbjyNu",positive
I really want to see how black panther fits in with the avengers,positive
"@DiscoEnergy1 @Marvel @Avengers If you watch all the trailers/teasers/promos, piece together the scenery, the conve https://t.co/tmpQmJIa70",neutral
A Quiet Place was meh. hopefully Avengers Infinity War is more impressive. #AtTheMovies https://t.co/5fU7Qtlh5v,neutral
"#NEW Elizabeth Olsen attending the Avengers: Infinity War fan screening in London, UK on April 8, 2018. https://t.co/bRzFjhWmv7",neutral
I liked a @YouTube video https://t.co/mLt2S4Z57C Marvel Studios' Avengers: Infinity War -- Chant TV Spot,neutral
@HitlerDaTaliban @FBI @CIA @DHSgov @Avengers @justiceleaguewb Unbelievable,negative
Avengers Infinity War Fan Screaming https://t.co/vc5bWxqEko,neutral
@Speakeasybutch Thats in the first one! It happens in avengers 2 as well,positive
HQ | First look of Benedict Cumberbatch and Sophie Hunter at the Avengers: Infinity War fan screening in London: https://t.co/5z0iOQsg5g,neutral
"But i will have to mute from Steve to Thanos passing by T'Challa, Loki, Avengers, Guardians etc oh lord",neutral
I added a video to a @YouTube playlist https://t.co/tFIN0iYBRX Avengers Spoiler Warning Meant for Cast Member - IGN Daily Fix,neutral
"@historybowler Not my favorite of what I've seen so far, but I like Thor as a character--especially in Avengers.",negative
@MarvelStudios @Avengers THATS MY FUCKING BABY!! MY FUCKING STARLORD  https://t.co/GkTJJnoGzV,negative
@Avengers In the schedule,neutral
"MCU Ranking 8 Films in:

1. Avengers
2. Thor
3. IM
4. IM3
5. TIH
6. CAFA
7. IM2
8. TDW

TDW is a stand alone. It do https://t.co/UexTnHRWBl",neutral
@Avengers who dies,neutral
"@boxofficemojo #wakanda $17.5 million in seventh week, amazing! With #InfinityWar around corner, I think this is fa https://t.co/OnABTDJtGI",positive
Road to #AvengersInfinityWar MCU Movie 11 #Avengers Age of Ultron https://t.co/hUfjQtvjjc #trakt,neutral
BAE LOOKS SO GOOD!!!!  #TomHolland #SpiderMan #marvel #InfinityWar #InfinityWar london #Avengers https://t.co/csVUoBw4lU,positive
Latest Avengers: Infinity War #Trailer Puts Spotlight On #BlackPanther https://t.co/v5g1eTD5eR,neutral
"My rascals just discovered their new favorite activity, @Playmation has had these new Avengers recruits knocking ou https://t.co/j3HvVEOgWg",neutral
from his first marvel red carpet premiere (captain america: the first avenger) to the latest one 7 years later (the https://t.co/kDwC2QxRDj,neutral
@ChiTown_Eazy @FBI @CIA @DHSgov @Avengers @justiceleaguewb Nvm he was joking yall aint gotta come no more,negative
"AVENGERS: INFINITY WAR - Thanos Demands Your Silence, School Bus MOVIE C... https://t.co/ZJpGu69YDI via @YouTube",neutral
I liked a @YouTube video https://t.co/biYRnfRdRd Marvel Studios' Avengers: Infinity War -- Chant TV Spot,neutral
@Marvel is Avengers 4 called Infinity Time? Or maybe... Infinity Timelines? #marvelcomics #comics #InfinityWar,neutral
"Saw this out in the wild today. Smart of Archie Comics to license the Avengers for this format, and not smart of Ma https://t.co/XXPZIoI7tP",neutral
lmaooo when he said avengers: everybody dies! https://t.co/EtCIbElLh7,neutral
New Avengers: Infinity War Trailer Prominently Features Black Panther And Wakanda https://t.co/kP8wePNbjS,neutral
hey ive only seen 3 marvel movies none of which were avengers but i would fucking die for bucky and steve thanks lads,negative
 poirott:Benedict Cumberbatch and wife Sophie Hunter at Avengers: Infinity War UK Fan Event - Apr 8... https://t.co/GTPqQxqflX,neutral
Who has two thumbs and reserved his ticket to see Avengers: Infinity War the Thursday night before it officially re https://t.co/sW9Fs1cKNG,neutral
if you dont do one of these with peter parker me and all of my mutuals will riot outside marvel hq https://t.co/miOVzD75C9,neutral
I love this guy with my life #StarLord  #InfinityWar https://t.co/zPikW8yI2j,positive
"@rolyaTttaM ive decided that i have one wish in life, &amp; that its to meet at least one of the avengers. just one. im not picky.",negative
MY AMAZING SON. https://t.co/4Y8NAc7953,positive
So if my dad doesnt wanna go see Avengers with me I have to go alone which sucks,negative
I liked a @YouTube video https://t.co/5cJqC9I3KX Avengers Infinity War - Bahubali Version |  ,neutral
". cats! Mrs.Peacock violets an blue Batman Star World Of Alien Terminator Day! , Saving Hawk Man Twilight Harry Ave https://t.co/8QncPDmIMr",positive
"Avengers Infinity War new trailer | Black Panthers chant will lead you into war.
https://t.co/Pr3Og4xpcc https://t.co/9w0zyokieo",neutral
"We find out if #BenAffleck, #GalGadot and #HenryCavill can help #JusticLeague vie for #Avengers-like superhero team https://t.co/Vmdxh6Ayc6",neutral
I added a video to a @YouTube playlist https://t.co/kbH06uts4F All LEGO Marvel AVENGERS: INFINITY WAR Minifigures! (Side by Side) -,neutral
@taysbee I think they might kill a few of the avengers..,neutral
9th Grade Hall of Fame - Pool B - Mass Frenzy 9 Black def. CT Avengers 40-12 #bbull @exposurebball,neutral
"Avenger
Ok literally who cares about avengers that aren't Jalter/Gorgon
Still Jalter takes the cake https://t.co/SSKm2D9Sor",neutral
Gotta decide if Im going to go see Avengers with someone or nah...,positive
Young Avengers please @Marvel I want to see Kate Bishop &lt;3 https://t.co/ueskexwDFC,neutral
@DarkLightLuna @bitty_kaboom @deweydecimation Sunday Avengers Assemble!,positive
@thisislucy @Avengers What kind of conversation are they having omg,negative
@DPJtoAA @CNN All the superhero movies do great. Avengers will probably break this record which i am all for. Becau https://t.co/U2QG6bJCvv,positive
