Tweet,Sentiment
@realDonaldTrump - A BULLY and a COWARD.  No big surprise here.  Trump to skip annual White House correspondents' d https://t.co/7lFvIEDMwq,neutral
"@JerryR5 @HuffPost Everyone lies, Trump isnt special in that regard. And I think youre severely underestimating t https://t.co/IB6N9R9Xl9",negative
"""Business Is VERY Good"": BET Founder Praises Trump Economy For Bringing African-Americans Back Into Labor Force (VI https://t.co/0gEbuAKTF8",positive
#StopConCon The impending Constitutional Convention is an even bigger threat than the GOP and Trump combined...beca https://t.co/N4Olrfzhfv,neutral
Mexico Agrees to Pay for Trumps Psychiatric Care https://t.co/GjvrWMeAGi #MAGA #wall #CLOUDAct #impeach45,neutral
The Trump administration targets Putins inner circle with new Russia sanctions https://t.co/yogluFaj1a,neutral
@DougSides @Trumpfan1995 @realDonaldTrump Thank You President Obama for the booming economy you left to the fake pr https://t.co/r1MBS6mh83,neutral
Trump to take a 'serious look' at Amazon regulation https://t.co/vMOobbPAHE https://t.co/aBT2RiUA3d,neutral
"@KimGonzalezAlb1 It's SUCH a big endeavor, maybe we could start by asking people to just take THEIR state's EC memb https://t.co/SrsdGTgh4l",negative
@The_Trump_Train @CarlsJr @Sears @Swiffer @CharlesSchwab @KelloggsUS @Chase @AAAnews @Bounty @symantec @SUBWAY https://t.co/DsxnUjNqWO,neutral
"GOOD: Trump To Skip Unfunny, Fake-News Filled, White House Correspondents Dinner (Again) https://t.co/g2PIBEeRpf https://t.co/YUNHnZJoT2",neutral
Opinion | Will We Stop Trump Before Its Too Late? https://t.co/mhkl5yUNof via @instapaper,neutral
Trump is skipping the White House Correspondents Dinner like he skips on White House briefings.  He should face tho https://t.co/UsxU2orp5W,neutral
"@bkgut3 @benwikler There's still time for that :/

Funny, I was just commenting to my friend that Trump isn't looki https://t.co/Za1bkSGRT3",negative
"Asked whether he'd have preferred seeing Yankees or Mets opening day games, Trump said:

""...I want them both to do https://t.co/dGwL1x4dAJ",neutral
"The Trump Show, Season 2, Episode 11: This is boring https://t.co/DnGn8ARSyy https://t.co/2mNTRMbDDA",neutral
Mueller has evidence that Trump supporter's meeting with Putin ally may not have been a chance encounter: Sources - https://t.co/EgGOdrz7Xp,neutral
@anogushumanist Its what happens when political polls get circulated almost entirely in a supportive audience. We https://t.co/8815thZvbW,neutral
"Will fight at 'any cost', China on Trump's $100 bn tariff threat https://t.co/c0S6uOkHfG via @TOIWorld",neutral
@CNBC Trump is an oil goon!,neutral
@limajoe2 @civilianpat @FoxNews @GovMikeHuckabee @realDonaldTrump @USNationalGuard SO MUCH WINNING. What a friggin' https://t.co/OMbusVNbf0,neutral
"Fridays Briefing: Another Developer Eyes Coliseum Site; Trump Calls for Schaaf to be Prosecuted |
   
East Bay Exp https://t.co/gsujXwDRz2",neutral
Mexican president appeals to Trump after barrage of tweets: 'Threatening attitudes' not justified - USA TODAY https://t.co/yvN9PX1PFw,neutral
Pelosi on Trump's National Guard Move https://t.co/gCy3FdMPtn,neutral
@RichardHaass @realDonaldTrump America must rid itself of this disaster. Indict and jail the family. Just like the https://t.co/4JlFVzIOOB,negative
@realDonaldTrump China Has the Cards to Call Trump's Bluffhttps://www.bloomberg.com/gadfly/articles/2018-04-06/chin https://t.co/OglXgsnjCW,neutral
Analysis | A new study suggests fake news might have won Donald Trump the 2016 election https://t.co/utGraygmR2,neutral
"@Scornpaul @Gmen2018 @williamwpennac1 @The_Trump_Train @realDonaldTrump You just keep taling in circles, rambling a https://t.co/xBYtFXURwS",neutral
Donald Trump Turned A Tax Reform Roundtable Into A Fit https://t.co/RghexNGPhh via @politicususa,neutral
Trump is scaring the hell out of his advisers right nowand that says a lot https://t.co/J7OzxqtedD,neutral
@Franklin_Graham You telling them that Trump also loves them?,neutral
"@annmlee1 It's so obvious.  We know Kudlow had a major habit, and Trump himself did lines at Studio 54.  They are f https://t.co/Gtv1LHdzEk",negative
@CNBC Trump tweeted at him while on the shitter....,neutral
Rural Trump voters are getting nervous as he trades tariff threats with China https://t.co/5tQwycIYJg,neutral
@mitchellreports @GardinerHarris You have been promoting that Trump is a Putin stooge and now @POTUS is being vindi https://t.co/ZRdOioHhM8,neutral
The woman who got fired for flipping off President Trump just sued her former employer https://t.co/2GDPYVxJbG,neutral
"@foxandfriends @DonaldJTrumpJr Ivanka &amp; Jared try to bribe Planned Parenthood
https://t.co/bcByDCoJCe",neutral
Jimmy Kimmel clashes with Sean Hannity over Kimmel's Melania Trump joke - https://t.co/r83PMwIA4h via https://t.co/41p8vBJWiG,neutral
"@EricLiptonNYT Wow, Trump's really going to look like a flip flopper with that vote of confidence. Can't imagine he https://t.co/a2SDvgn1ZH",negative
Ex-top CIA official: Brennan is doing Putin's 'bidding' by speculating about Trump blackmail https://t.co/ZfxHoenYjb,neutral
"@realJohnnyZipp Wipe out the garbage media like CNN!
There are a lot of be bought media publicity of far-left thought, denigrate trump!",negative
@GQMagazine @patagonia @realDonaldTrump I'm sure Donald Trump is shaking in his boots.  Why are rich elite rich lib https://t.co/rMhL8RXf5x,neutral
