Tweet,Sentiment
"Netflix to produce a reality show on IPL
https://t.co/hxvOq4LKMF https://t.co/cO7m3tsNgJ",neutral
"@Atheist_Krishna Pic1: Washington DC

Pic 2: Washington BC 



#IPL2018 #IPL #KKRvRCB https://t.co/cBIbvHO59J",neutral
Rahul belts fastest IPL half-century - https://t.co/S0zdxI6mLX https://t.co/VJojzpuZX2,neutral
"ACCURACY FOR IPL

3/3 - 100%

CONTACT  7728843244

MARKET LOAD SPECIALIST

#CricketInsider #Original #Cricket https://t.co/E96jlyfF8P",neutral
@JadhavKedar @ChennaiIPL @CSKFansOfficial @IPL @BCCI Very well played bro!,positive
One of my most favorite things in IPL is Virat's interview after losing a match. Sorry x.,neutral
Hatt BC.!RCB fans do not hide..It is the most entertaining team in IPL...No matter we don't have any Cup..But it is https://t.co/KM01dFdT1X,positive
"Despite having all bases covered this time in the auction(especially getting KKR's core bowlers), RCB's misery in t https://t.co/hV2DC0ITAx",neutral
Last time i saw Dinesh Karthik get out was in last IPL don't remember when was the last time he was dismissed?? ,negative
14 Balls Half-century In Evening By KL Rahul And Now 17 Ball Half-century By Sunil Narine. And #Pakistanis Are Sayi https://t.co/4gKWP7om09,neutral
Happy start for both the new captains @DineshKarthik and @ashwinravi99 as their teams won their first games as a https://t.co/fe7UOZmO9s,positive
What a serious knock after injury @Russell12A Back in action  @IPL #IPL2018,neutral
Well done to Sport Mobile's @chriswoakes on his 3 wicket haul in his opening game for @RCBTweets . Unfortunately on https://t.co/kISjUrCc0b,neutral
"Congratulations @DineshKarthik for your first win as a captain in #IPL @KKRiders 
@iamsrk",positive
"Not an easy chase for Kolkata Knight Riders, but they begin their 2018 IPL campaign with a win https://t.co/P9OdPiJobo",neutral
"Hardluck once again to @RCBTweets but one defeat cannot define #RCB's  campaign, surely they would bounce back. Con https://t.co/ACEOQVQQpd",neutral
"T 1805 -Fastest 50 in Vivo @IPL 
Perfect start to the 2nd innings 
Man of the match 

#KXIPvDD https://t.co/pV1chnq4Fq",positive
@adeel_azhar PSL's bowling standard is far better than IPL... Thats why McCullum and Narine were very comfortable tonight,positive
Well done @KKRiders for a great first win in the @IPL ... looking forward to seeing @Cam12Delport playing!,positive
Indian premier league has now less audience in Kashmir. Cricket fans in Kashmir have  pledged to boycott the league. https://t.co/jyONLYuB4s,neutral
"@aaliaaaliya You are right anty.
IPL Bowling standard Is very poor.",negative
"@Yogitaofficial @im_Virakshii @IPL @ChennaiIPL @mipaltan Chemistry made it worse for me
And I don't know if I will get qualified",negative
"RCB got its answer for thier dream of winning IPL 2018 in thier very first match, Better thing is RCB can walk out https://t.co/xB6gnqFtsD",positive
"After tomorrow's match between #SRHvRR I will predict the teams who will end in top 4 and bottom 4. 

#RCB already https://t.co/rUJcYb4mja",neutral
"Meanwhile when all eyes was on RCBs Top 4 , #KKR just pulled it back at a right time.
Making a statement https://t.co/pXevF88Plg",neutral
"When McCullum 43, Kohli 31, and AB 44 is not enough. KKR beat RCB by 4 wickets. 177/6/18.5 #ipl #KKRvRCB",negative
So @ashwinravi99 @DineshKarthik register their first victory in IPL as captains. Gud for Indian cricket and TN. Mor https://t.co/hSCkD6ulGO,neutral
"Troll  Troll Troll Troll 

It's all about fun. 
If u will lose the game u will definately be trolled no matter whic https://t.co/P6OE1gqcqk",negative
enjoyed today match....but efforts of ab devilers is just..beyond everything @IPL,positive
"So the scores keep on inching ahead this IPL. Teams batting first have been raising the target by a few runs, only https://t.co/zP7qu8EoFf",neutral
I'm done with IPL already,positive
@pcytotoxic Last IPL match I was forced to watch was in 2009 I think.,neutral
@AnuRadha9082 @IPL @KKRiders Yes uh right !!!,positive
Well played @KKRiders. Great start to d season. Complete team effort. #KKRHaiTaiyaar for #IPL2018. #IPL #IPL11 #KKRvRCB #KKRvsRCB,positive
"KKR starts their 2018 IPL campaign with a victory over RCB!!
#Korbo_Lorbo_Jitbo ",positive
DK wins over VK !   watching IPL - Indian Premier League 2018,positive
"IPL 2018 | @KKRiders vs @RCBTweets
Royal Challengers Bangalore: 176/7 (20 Overs) [McCullum 43, AB de Villiers 44]
K https://t.co/JhXU2mH37M",neutral
Good first 3 games in ipl,neutral
On @klrahul11's record-breaking return. Takes off from where he left off in IPL 2016. https://t.co/N23FA0RAGK,neutral
Actually happy that Kartick got a winning start to his captaincy! Going to be fun watching this team! #KKRvRCB #IPL,positive
@Pathan_007_ Why ipl not broadcasting in Pak?,neutral
#IPL Matty Hayden very poor interviewer ! Lost for words,negative
"On s serious note, #EeSalaCupNamde !! #FTW #RCB #IPL",positive
"Today's match had literally taken my breath on a hold till the last over.
#RCBvKKR #RCBvsKKR #Rcb #IPL2018 #IPL #IPL11 #VivoIPL2018",negative
"Seeing a lot of ""PSL is better than IPL"" kinda meme from my Pakistani friends. Fact is Indians never cared to do th https://t.co/ZQ9SAOt4Oq",negative
"@SheikhAhmer5 @abinashs321 @IPL @thePSLt20 Do you know, Ind already connected toilet waters frm Haryana, Punjab, Hi https://t.co/1eDvFjAd40",neutral
@CricFarmer @IndianMourinho Mujeeb is a domestic talent? And Mayank doesn't require research ffs. He was the leadin https://t.co/fOcqjawdyn,neutral
"IPL: Kolkata beat Bangalore, the aggressive half-century of Sunil Narin

 Kathmandu:  After making a half-century b https://t.co/eAsJdNUOQZ",neutral
"Well played #KKR , congrats for the win. This shows the lack of good bowling in #RCB side. I hope the team will do https://t.co/2poC47Wy7h",positive
"IPL T20 2018
Kolkata Knight Riders vs Royal Challenger Bangalore

Kolkata Knight Rights won the match by 4 wickets. https://t.co/OLwyuel5pr",neutral
